episode,reward
1,14.0
2,23.0
3,14.0
4,25.0
5,11.0
6,25.0
7,16.0
8,32.0
9,18.0
10,25.0
11,20.0
12,25.0
13,17.0
14,12.0
15,27.0
16,21.0
17,16.0
18,24.0
19,19.0
20,22.0
21,12.0
22,20.0
23,34.0
24,14.0
25,16.0
26,18.0
27,26.0
28,12.0
29,18.0
30,11.0
31,16.0
32,11.0
33,35.0
34,15.0
35,18.0
36,17.0
37,68.0
38,13.0
39,30.0
40,33.0
41,27.0
42,12.0
43,23.0
44,15.0
45,14.0
46,18.0
47,26.0
48,19.0
49,32.0
50,58.0
51,15.0
52,16.0
53,18.0
54,12.0
55,16.0
56,17.0
57,15.0
58,88.0
59,74.0
60,20.0
61,13.0
62,25.0
63,60.0
64,14.0
65,120.0
66,14.0
67,71.0
68,13.0
69,31.0
70,70.0
71,50.0
72,3.0
73,53.0
74,24.0
75,28.0
76,18.0
77,33.0
78,161.0
79,65.0
80,63.0
81,91.0
82,129.0
83,24.0
84,65.0
85,71.0
86,141.0
87,184.0
88,117.0
89,159.0
90,63.0
91,89.0
92,182.0
93,22.0
94,178.0
95,171.0
96,219.0
97,52.0
98,98.0
99,7.0
100,9.0
101,82.0
102,137.0
103,131.0
104,230.0
105,15.0
106,126.0
107,54.0
108,93.0
109,136.0
110,16.0
111,221.0
112,10.0
113,51.0
114,158.0
115,23.0
116,16.0
117,3.0
118,124.0
119,148.0
120,4.0
121,209.0
122,78.0
123,141.0
124,144.0
125,161.0
126,238.0
127,51.0
128,108.0
129,126.0
130,145.0
131,41.0
132,48.0
133,102.0
134,158.0
135,78.0
136,148.0
137,136.0
138,101.0
139,152.0
140,90.0
141,141.0
142,84.0
143,72.0
144,199.0
145,52.0
146,57.0
147,13.0
148,97.0
149,4.0
150,61.0
151,157.0
152,50.0
153,74.0
